sentence,label,idx,ds_type
"Our friends won't buy this analysis, let alone the next one we propose.",1,0,train
One more pseudo generalization and I'm giving up.,1,1,train
One more pseudo generalization or I'm giving up.,1,2,train
"The more we study verbs, the crazier they get.",1,3,train
Day by day the facts are getting murkier.,1,4,train
I'll fix you a drink.,1,5,train
Fred watered the plants flat.,1,6,train
Bill coughed his way out of the restaurant.,1,7,train
We're dancing the night away.,1,8,train
Herman hammered the metal flat.,1,9,train
The critics laughed the play off the stage.,1,10,train
The pond froze solid.,1,11,train
Bill rolled out of the room.,1,12,train
The gardener watered the flowers flat.,1,13,train
The gardener watered the flowers.,1,14,train
Bill broke the bathtub into pieces.,1,15,train
Bill broke the bathtub.,1,16,train
They drank the pub dry.,1,17,train
They drank the pub.,0,18,train
The professor talked us into a stupor.,1,19,train
The professor talked us.,0,20,train
We yelled ourselves hoarse.,1,21,train
We yelled ourselves.,0,22,train
We yelled Harry hoarse.,0,23,train
Harry coughed himself into a fit.,1,24,train
Harry coughed himself.,0,25,train
Harry coughed us into a fit.,0,26,train
Bill followed the road into the forest.,1,27,train
We drove Highway 5 from SD to SF.,1,28,train
Fred tracked the leak to its source.,1,29,train
John danced waltzes across the room.,1,30,train
Bill urinated out the window.,1,31,train
Bill coughed out the window.,1,32,train
Bill bled on the floor.,1,33,train
The toilet leaked through the floor into the kitchen below.,1,34,train
Bill ate off the floor.,1,35,train
Bill drank from the hose.,1,36,train
This metal hammers flat easily.,1,37,train
They made him president.,1,38,train
They made him angry.,1,39,train
They caused him to become angry by making him.,0,40,train
They caused him to become president by making him.,0,41,train
They made him to exhaustion.,0,42,train
They made him into a monster.,1,43,train
The trolley rumbled through the tunnel.,1,44,train
The wagon rumbled down the road.,1,45,train
The bullets whistled past the house.,1,46,train
The knee replacement candidate groaned up the stairs.,1,47,train
The car honked down the road.,0,48,train
The dog barked out of the room.,0,49,train
The dog barked its way out of the room.,1,50,train
Bill whistled his way past the house.,1,51,train
The witch vanished into the forest.,1,52,train
Bill disappeared down the road.,1,53,train
The witch went into the forest by vanishing.,0,54,train
The witch went into the forest and thereby vanished.,1,55,train
The building is tall and wide.,1,56,train
The building is tall and tall.,0,57,train
This building is taller and wider than that one.,1,58,train
This building got taller and wider than that one.,1,59,train
This building got taller and taller.,1,60,train
This building is taller and taller.,0,61,train
This building got than that one.,0,62,train
This building is than that one.,0,63,train
Bill floated into the cave.,1,64,train
Bill floated into the cave for hours.,0,65,train
Bill pushed Harry off the sofa for hours.,0,66,train
Bill floated down the river for hours.,1,67,train
Bill floated down the river.,1,68,train
Bill pushed Harry along the trail for hours.,1,69,train
Bill pushed Harry along the trail.,1,70,train
The road zigzagged down the hill.,1,71,train
The rope stretched over the pulley.,1,72,train
The weights stretched the rope over the pulley.,1,73,train
The weights kept the rope stretched over the pulley.,1,74,train
Sam cut himself free.,1,75,train
Sam got free by cutting his finger.,1,76,train
Bill cried himself to sleep.,1,77,train
Bill cried Sue to sleep.,0,78,train
Bill squeezed himself through the hole.,1,79,train
Bill sang himself to sleep.,1,80,train
Bill squeezed the puppet through the hole.,1,81,train
Bill sang Sue to sleep.,1,82,train
The elevator rumbled itself to the ground.,0,83,train
"If the telephone rang, it could ring itself silly.",1,84,train
She yelled hoarse.,0,85,train
Ted cried to sleep.,0,86,train
The tiger bled to death.,1,87,train
"He coughed awake and we were all overjoyed, especially Sierra.",1,88,train
"John coughed awake, rubbing his nose and cursing under his breath.",1,89,train
John coughed himself awake on the bank of the lake where he and Bill had their play.,1,90,train
Ron yawned himself awake.,1,91,train
She coughed herself awake as the leaf landed on her nose.,1,92,train
The worm wriggled onto the carpet.,1,93,train
The chocolate melted onto the carpet.,1,94,train
The ball wriggled itself loose.,0,95,train
Bill wriggled himself loose.,1,96,train
Aliza wriggled her tooth loose.,1,97,train
The off center spinning flywheel shook itself loose.,1,98,train
"The more you eat, the less you want.",1,99,train
"If you eat more, you want correspondingly less.",1,100,train
"When you eat more, you want correspondingly less.",1,101,train
"As you eat more, you want correspondingly less.",1,102,train
"The most you want, the least you eat.",0,103,train
"The angrier Sue gets, the more Fred admires her.",1,104,train
"The more that you eat, the less that you want.",1,105,train
"The angrier that Sue gets, the more that Fred admires her.",1,106,train
"I think that the more you eat, the less you want.",1,107,train
"I'm not shocked by the idea that the more you eat, the less you want.",1,108,train
"It is obvious that the more you eat, the less you want.",1,109,train
"It is not entirely clear if the more you eat, the less you want.",1,110,train
"I want to explain exactly why the more you eat, the less you want.",1,111,train
"I demand that the more John eats, the more he pays.",1,112,train
"I demand that the more John eat, the more he pay.",0,113,train
"I demand that John pay more, the more he eats.",1,114,train
"I demand that John pays more, the more he eat.",0,115,train
"You get angrier, the more we eat, don't you.",1,116,train
"You get angrier, the more we eat, don't we.",0,117,train
"The harder it has rained, how much faster a flow that appears in the river?",0,118,train
"The harder it has rained, how much faster a flow appears in the river?",1,119,train
"The harder it rains, how much faster that do you run?",0,120,train
"The harder it rains, how much faster do you run?",1,121,train
"The harder it rains, how much faster a flow do you see in the river?",1,122,train
"The harder it rains, how much faster a flow that do you see in the river?",0,123,train
"When it rains harder, how much faster a flow appears in the river?",1,124,train
"As it rains harder, how much faster a flow appears in the river?",1,125,train
"As it rains harder, how much faster a flow that appears in the river?",0,126,train
"When it rains harder, how much faster a flow that appears in the river?",0,127,train
"How much harder has it rained, the faster a flow you see in the river?",1,128,train
"How much harder has it rained, when you see a faster flow in the river?",1,129,train
"The more John eats, the tighter keep your mouth shut about it.",0,130,train
"The more everyone eat, the more John keeps his big mouth shut about it, OK?",0,131,train
"When John eats more, keep your mouth shut tighter, OK?",1,132,train
"As John eats more, keep your mouth shut tighter, OK?",1,133,train
"Keep your mouth shut tighter, the more John eats, OK?",1,134,train
"Everyone keep your mouth shut tighter, the more John eats, OK?",1,135,train
"I can well imagine the more him eating, the fatter him getting.",0,136,train
Bill can well imagine getting fat.,1,137,train
"Bill can well imagine the more he eats, the fatter getting.",0,138,train
"Fred can well imagine Joe getting fatter, the more he eats.",1,139,train
"It is important the more you eat, the more careful to be.",0,140,train
"It is important for the more you eat, the more careful to be.",0,141,train
"It is important the more you to eat, the more careful to be.",0,142,train
"It is important the more you eat, the more careful you to be.",0,143,train
"It is important the more you eat, the more careful for you to be.",0,144,train
"It is important for the more you to eat, the more careful to be.",0,145,train
"It is important for the more you to eat, the more careful for you to be.",0,146,train
"It is important the more you to eat, the more careful for you to be.",0,147,train
"It is important for the more you eat, the more careful you to be.",0,148,train
"It is important for you to be more careful, the more you eat.",1,149,train
"It is important to be more careful, the more you eat.",1,150,train
I can well imagine quickly Mary answering the question.,0,151,train
I can well imagine with a hatchet Mary destroying the Jeep.,0,152,train
"I can well imagine if he eats more, him getting fat.",0,153,train
"It is not entirely obvious if, Mary listens to the Grateful Dead, she gets depressed.",0,154,train
"It is not entirely obvious whether, Mary listens to the Grateful Dead, she gets depressed.",0,155,train
Mary listens to the Grateful Dead and she gets depressed.,1,156,train
"If Mary listens to the Grateful Dead, she gets depressed.",1,157,train
