id,source,tokens,labels,nested-labels,ds_type
0,n-tv.de vom 26.02.2005 [2005-02-26] ,"['Schartau', 'sagte', 'dem', '""', 'Tagesspiegel', '""', 'vom', 'Freitag', ',', 'Fischer', 'sei', '""', 'in', 'einer', 'Weise', 'aufgetreten', ',', 'die', 'alles', 'andere', 'als', 'überzeugend', 'war', '""', '.']","['B-PER', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
1,welt.de vom 29.10.2005 [2005-10-29] ,"['Firmengründer', 'Wolf', 'Peter', 'Bree', 'arbeitete', 'Anfang', 'der', 'siebziger', 'Jahre', 'als', 'Möbelvertreter', ',', 'als', 'er', 'einen', 'fliegenden', 'Händler', 'aus', 'dem', 'Libanon', 'traf', '.']","['O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
2,http://www.stern.de/sport/fussball/krawalle-in-der-fussball-bundesliga-dfb-setzt-auf-falsche-konzepte-1553657.html#utm_source=standard&utm_medium=rss-feed&utm_campaign=sport [2010-03-25] ,"['Ob', 'sie', 'dabei', 'nach', 'dem', 'Runden', 'Tisch', 'am', '23.', 'April', 'in', 'Berlin', 'durch', 'ein', 'pädagogisches', 'Konzept', 'unterstützt', 'wird', ',', 'ist', 'allerdings', 'zu', 'bezweifeln', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
3,stern.de vom 21.03.2006 [2006-03-21] ,"['Bayern', 'München', 'ist', 'wieder', 'alleiniger', 'Top-', 'Favorit', 'auf', 'den', 'Gewinn', 'der', 'deutschen', 'Fußball-Meisterschaft', '.']","['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCderiv', 'O', 'O']","['B-LOC', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
4,http://www.fr-online.de/in_und_ausland/sport/aktuell/1618625_Frings-schaut-finster-in-die-Zukunft.html [2008-10-24] ,"['Dabei', 'hätte', 'der', 'tapfere', 'Schlussmann', 'allen', 'Grund', 'gehabt', ',', 'sich', 'viel', 'früher', 'aufzuregen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
5,handelsblatt.com vom 12.07.2005 [2005-07-12] ,"['ARD-Programmchef', 'Günter', 'Struve', 'war', 'wegen', 'eines', 'vierwöchigen', 'Urlaubs', 'für', 'eine', 'Stellungnahme', 'nicht', 'erreichbar', '.']","['B-ORGpart', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
6,http://www.rp-online.de/808095 [2010-01-18] ,"['Alternativ', 'sollten', 'sich', 'die', 'Restaurantbetreiber', 'aus', 'Sicht', 'der', 'Solingerin', 'zu', 'längeren', 'Öffnungszeiten', 'verpflichten', ',', 'um', 'wartende', 'Kunden', 'aufzunehmen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCderiv', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
7,"http://www.donaukurier.de/nachrichten/topnews/D-Island-Vulkan-Verkehr-Luftfahrt-Flugbetrieb-an-den-meisten-deutschen-Flughaefen-steht-still;art154776,2268508 [2010-04-18] ","['Die', 'Deutsche', 'Flugsicherung', '(', 'DFS', ')', 'beschloss', 'ein', 'Flugverbot', 'für', 'alle', 'internationalen', 'Flughäfen', 'mit', 'Ausnahme', 'der', 'beiden', 'Berliner', 'Flughäfen', 'bis', '2.00', 'Uhr', 'nachts', '.']","['O', 'B-ORG', 'I-ORG', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCderiv', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-LOCderiv', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
8,http://de.wikipedia.org/wiki/VW_Lupo_II [2010-01-12] ,"['New', 'Small', 'Family', 'mit', 'E-Motor', ':', 'Studie', 'E-Up', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
9,http://de.wikipedia.org/wiki/Rollei [2010-01-16] ,"['Eine', 'Schwachstelle', 'war', 'beispielsweise', 'der', 'Spiegelkasten', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",train
